1,Nguyá»…n VÄƒn 1,Nam ??nh,1/1/2000,4
2,Nguyá»…n VÄƒn 2,Hà n?i,1/1/2000,3
3,Nguyá»…n VÄƒn 3,Thái bình,1/1/2000,7
4,Nguyá»…n VÄƒn 4,Hà nam,1/1/2000,7
5,Nguyá»…n VÄƒn 5,Thái bình,1/1/2000,5
6,Nguyá»…n VÄƒn 6,Thái bình,1/1/2000,6
7,Nguyá»…n VÄƒn 7,Thái bình,1/1/2000,3
8,Nguyá»…n VÄƒn 8,H?ng yên,1/1/2000,2
9,Nguyá»…n VÄƒn 9,Hà n?i,1/1/2000,7
10,Nguyá»…n VÄƒn 10,V?nh phúc,1/1/2000,2
11,Nguyá»…n VÄƒn 11,Thái bình,1/1/2000,0
12,Nguyá»…n VÄƒn 12,Phú th?,1/1/2000,8
13,Nguyá»…n VÄƒn 13,Cà mau,1/1/2000,0
14,Nguyá»…n VÄƒn 14,Thái nguyên,1/1/2000,7
